Price,Adj Close,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,,
2002-08-12,29.462495803833008,39.70000076293945,40.0,38.724998474121094,38.724998474121094,212976
2002-08-13,29.063589096069336,39.162498474121094,40.38750076293945,38.875,39.75,153576
2002-08-14,27.059850692749023,36.462501525878906,39.25,35.724998474121094,39.25,822776
2002-08-15,27.059850692749023,36.462501525878906,36.462501525878906,36.462501525878906,36.462501525878906,0
2002-08-16,26.99490737915039,36.375,38.0,35.75,36.275001525878906,811856
2002-08-19,26.326993942260742,35.474998474121094,36.67499923706055,35.13750076293945,36.67499923706055,205880
2002-08-20,27.059850692749023,36.462501525878906,38.724998474121094,35.48749923706055,35.724998474121094,3773624
2002-08-21,28.386398315429688,38.25,39.20000076293945,36.525001525878906,38.474998474121094,3011064
2002-08-22,29.610919952392578,39.900001525878906,41.57500076293945,39.3125,39.51250076293945,6732480
2002-08-23,31.39202117919922,42.29999923706055,43.625,39.76250076293945,40.25,4841672
2002-08-26,31.280704498291016,42.150001525878906,43.25,41.8125,42.974998474121094,2576912
2002-08-27,30.50146484375,41.099998474121094,44.25,40.75,42.5,3694224
2002-08-28,30.529296875,41.13750076293945,41.599998474121094,40.287498474121094,40.974998474121094,1674960
2002-08-29,30.529296875,41.13750076293945,41.875,40.75,40.88750076293945,1236544
2002-08-30,32.690738677978516,44.04999923706055,45.125,41.25,41.26250076293945,3762384
2002-09-02,33.024696350097656,44.5,45.974998474121094,44.04999923706055,44.75,2389568
2002-09-03,31.47552490234375,42.412498474121094,44.9375,42.0,44.75,986784
2002-09-04,32.161983489990234,43.337501525878906,43.75,41.38750076293945,41.875,1449856
2002-09-05,31.9671688079834,43.07500076293945,44.86249923706055,42.5,44.662498474121094,1061360
2002-09-06,30.77975082397461,41.474998474121094,43.25,41.01250076293945,43.25,907472
2002-09-09,30.38088035583496,40.9375,42.6875,39.5,39.5,880848
2002-09-10,30.38088035583496,40.9375,40.9375,40.9375,40.9375,0
2002-09-11,31.15082359313965,41.974998474121094,42.70000076293945,41.162498474121094,41.162498474121094,635936
2002-09-12,31.308528900146484,42.1875,43.224998474121094,41.900001525878906,42.48749923706055,781968
2002-09-13,30.417966842651367,40.98749923706055,42.224998474121094,40.63750076293945,40.712501525878906,338264
2002-09-16,29.82427978515625,40.1875,41.599998474121094,39.875,41.375,288592
2002-09-17,30.696269989013672,41.36249923706055,41.625,40.775001525878906,40.912498474121094,462952
2002-09-18,29.75005531311035,40.087501525878906,41.25,39.75,41.125,315432
2002-09-19,29.499605178833008,39.75,41.07500076293945,39.25,39.75,490848
2002-09-20,29.01721954345703,39.099998474121094,39.67499923706055,38.162498474121094,38.32500076293945,501072
2002-09-23,28.525556564331055,38.4375,39.474998474121094,38.275001525878906,39.375,248504
2002-09-24,27.560779571533203,37.13750076293945,38.29999923706055,36.724998474121094,38.29999923706055,267912
2002-09-25,27.774139404296875,37.42499923706055,37.75,36.0,36.275001525878906,379544
2002-09-26,28.210147857666016,38.01250076293945,38.61249923706055,37.75,38.20000076293945,178136
2002-09-27,28.553373336791992,38.474998474121094,39.0,37.88750076293945,37.88750076293945,206288
2002-09-30,27.514408111572266,37.07500076293945,38.474998474121094,36.275001525878906,37.88750076293945,202232
2002-10-01,27.28247833251953,36.76250076293945,37.75,36.125,37.25,240192
2002-10-02,27.28247833251953,36.76250076293945,36.76250076293945,36.76250076293945,36.76250076293945,0
2002-10-03,28.015329360961914,37.75,39.75,37.25,37.25,673264
2002-10-04,27.83908462524414,37.51250076293945,38.36249923706055,37.125,38.25,258296
2002-10-07,27.7185001373291,37.349998474121094,38.0,37.025001525878906,37.76250076293945,110976
2002-10-08,28.469907760620117,38.36249923706055,38.724998474121094,37.25,37.462501525878906,227352
2002-10-09,27.746320724487305,37.38750076293945,39.11249923706055,37.0625,38.5,277040
2002-10-10,27.774139404296875,37.42499923706055,38.5,36.63750076293945,38.5,173224
2002-10-11,28.358566284179688,38.212501525878906,38.9375,38.11249923706055,38.474998474121094,192536
2002-10-14,28.15448570251465,37.9375,39.0,37.57500076293945,38.92499923706055,152744
2002-10-15,28.15448570251465,37.9375,37.9375,37.9375,37.9375,0
2002-10-16,28.210147857666016,38.01250076293945,42.775001525878906,37.775001525878906,42.775001525878906,247760
2002-10-17,28.210147857666016,38.01250076293945,38.25,37.525001525878906,38.25,144512
2002-10-18,28.803857803344727,38.8125,39.92499923706055,38.287498474121094,38.75,512312
2002-10-21,29.2491397857666,39.412498474121094,40.73749923706055,39.25,39.724998474121094,646296
2002-10-22,28.19159698486328,37.98749923706055,39.75,37.75,39.75,229384
2002-10-23,28.061723709106445,37.8125,38.70000076293945,37.525001525878906,38.25,153320
2002-10-24,27.57006072998047,37.150001525878906,38.349998474121094,36.900001525878906,38.224998474121094,168744
2002-10-25,27.004188537597656,36.38750076293945,37.087501525878906,36.275001525878906,36.5,172296
2002-10-28,26.60528564453125,35.849998474121094,36.5,35.54999923706055,36.125,134504
2002-10-29,26.837209701538086,36.162498474121094,36.45000076293945,35.54999923706055,35.75,143024
2002-10-30,27.291763305664062,36.775001525878906,37.4375,36.25,36.5,164320
2002-10-31,27.7185001373291,37.349998474121094,37.5,36.79999923706055,37.0,118928
2002-11-01,27.4309139251709,36.962501525878906,38.150001525878906,36.76250076293945,37.525001525878906,108792
2002-11-04,27.63498878479004,37.23749923706055,37.5,36.95000076293945,37.5,56560
2002-11-05,27.338146209716797,36.837501525878906,37.32500076293945,36.599998474121094,36.88750076293945,70288
2002-11-06,27.338146209716797,36.837501525878906,36.837501525878906,36.837501525878906,36.837501525878906,0
2002-11-07,28.18231201171875,37.974998474121094,39.5,37.5,37.5,204880
2002-11-08,27.690649032592773,37.3125,37.73749923706055,37.025001525878906,37.25,77664
2002-11-11,27.273212432861328,36.75,37.5,36.67499923706055,37.5,66568
2002-11-12,27.4123592376709,36.9375,37.5,36.5,36.5,106864
2002-11-13,27.180442810058594,36.625,37.224998474121094,36.42499923706055,37.125,106264
2002-11-14,27.551511764526367,37.125,37.900001525878906,36.63750076293945,37.20000076293945,211856
2002-11-15,28.14520835876465,37.92499923706055,38.162498474121094,37.5,37.95000076293945,154144
2002-11-18,28.432781219482422,38.3125,38.73749923706055,37.837501525878906,38.25,217672
2002-11-19,28.432781219482422,38.3125,38.3125,38.3125,38.3125,0
2002-11-20,29.369707107543945,39.57500076293945,39.875,38.25,38.25,406128
2002-11-21,31.911529541015625,43.0,44.724998474121094,40.3125,40.3125,2664024
2002-11-22,31.41984748840332,42.337501525878906,45.17499923706055,41.38750076293945,41.38750076293945,1184016
2002-11-25,31.364171981811523,42.26250076293945,43.20000076293945,41.75,42.75,428920
2002-11-26,31.178665161132812,42.01250076293945,43.45000076293945,41.775001525878906,42.625,367496
2002-11-27,30.52001953125,41.125,42.75,40.88750076293945,42.75,301128
2002-11-28,31.763078689575195,42.79999923706055,43.724998474121094,41.51250076293945,41.525001525878906,447680
2002-11-29,31.763078689575195,42.79999923706055,42.79999923706055,42.79999923706055,42.79999923706055,0
2002-12-02,35.1675910949707,47.38750076293945,49.0,44.474998474121094,44.875,1388680
2002-12-03,37.18062210083008,50.099998474121094,52.42499923706055,46.775001525878906,48.5,4082608
2002-12-04,35.93755340576172,48.42499923706055,51.1875,47.76250076293945,49.224998474121094,2594928
2002-12-05,36.846656799316406,49.650001525878906,51.11249923706055,48.125,48.125,1720264
2002-12-06,37.81141662597656,50.95000076293945,51.67499923706055,49.63750076293945,50.5,1139968
2002-12-09,35.99320602416992,48.5,51.724998474121094,48.025001525878906,50.75,975768
2002-12-10,36.818843841552734,49.61249923706055,50.5,47.275001525878906,47.625,837808
2002-12-11,38.55356979370117,51.95000076293945,53.98749923706055,50.75,51.0,3286400
2002-12-12,38.868980407714844,52.375,54.0,52.0,52.0,2568024
2002-12-13,39.02666473388672,52.587501525878906,53.67499923706055,52.275001525878906,53.0,1112288
2002-12-16,37.34760665893555,50.32500076293945,53.67499923706055,50.025001525878906,53.25,1231456
2002-12-17,36.661136627197266,49.400001525878906,51.275001525878906,48.900001525878906,51.275001525878906,855656
2002-12-18,36.31789016723633,48.9375,50.724998474121094,48.599998474121094,49.95000076293945,618096
2002-12-19,39.388458251953125,53.07500076293945,54.375,49.375,49.92499923706055,3770256
2002-12-20,39.7131233215332,53.51250076293945,54.95000076293945,52.5,53.75,2952072
2002-12-23,38.30308532714844,51.61249923706055,53.76250076293945,51.25,53.75,1277744
2002-12-24,39.88010787963867,53.73749923706055,54.0,51.5625,51.75,1729840
2002-12-25,39.88010787963867,53.73749923706055,53.73749923706055,53.73749923706055,53.73749923706055,0
2002-12-26,41.011863708496094,55.26250076293945,55.95000076293945,53.25,54.150001525878906,2894448
2002-12-27,40.08419418334961,54.01250076293945,55.875,53.787498474121094,55.650001525878906,956984
2002-12-30,42.41262435913086,57.150001525878906,57.724998474121094,52.76250076293945,54.0,4253744
2002-12-31,44.61117935180664,60.11249923706055,61.087501525878906,56.0,57.525001525878906,9998480
2003-01-01,45.33474349975586,61.087501525878906,61.974998474121094,59.98749923706055,59.98749923706055,6027072
2003-01-02,43.26607894897461,58.29999923706055,62.92499923706055,57.912498474121094,61.525001525878906,5325328
